l,t_setup,t_share,t_eval_sp,t_eval_sign,n_bits,n_samples
1,9134.6651,19.2485,20.5937,2351.1352,8,1
128,12295.2,29.55,184.7,2351.85,8,1
256,15635.7,28.45,349.55,2360.4,8,1
512,25729.7,36.05,641.9,2358.15,8,1
1024,47080.1,53.7,1268.3,2376.7,8,1
1,11533.4694,19.2603,20.45005,4612.06,16,1
128, 18814.896000, 29.623, 185.72, 4734.229500,16,1
256,27964.7,32.7,393.25,4614.2,16,1
512,47839.7,42.45,761.4,4766.65,16,1
1024,87853.7,82.35,1486.95,4618.65,16,1
1,16573.8864,19.44015,21.0205,9393.1637,32,1
128, 33631.306000, 38.4680, 190.607, 9201.22, 32, 1
256, 53997.833000, 53.678000, 470.721500, 9238.38, 32, 1
512, 94417.228000, 110.512000, 905.407000, 9242.60, 32, 1
1024, 175136.414000, 176.432000, 1774.115500, 9248.95, 32, 1
1,31582.3314,19.34365,24.33735,23814.23505,64,1
128, 70101.37, 46.838, 216.291500, 24734.6865, 64, 1
256,108849.8,97.8,214.95,25248.5,64,1
512,189245.2,171.45,548.85,23727.85,64,1
1024,351221.3,535,1057.45,23750.7,64,1
128,2690122.2,4425.65,23385.8,964220.5,32,100
256,4674317.9,12125.85,42821.1,932451.7,32,100
512,8770881.2,32083.95,80682.95,932587.45,32,100
1024,16975570.3,75132.2,162313.25,932941.55,32,100
128,5272928,12415.3,44372.1,1865085.4,32,200
256,9371399.7,31474.05,86251.4,1865141.9,32,200
512,17590453.5,75676.35,172206.7,1866267.7,32,200
1024,34037666.4,159737.3,336496.4,1869451.3,32,200
128,13254693.4,42792.6,108564.65,4662221.6,32,500
256,23516427.3,97113.85,225934.1,4664801.2,32,500
512,44105844.1,210435.1,463071.6,4670776.3,32,500
1024,85275342.5,436140.05,960691.6,4669678,32,500
128,26586987.3,100006.15,226473.45,9327612.45,32,1000
256,47197230.5,216173.65,461541.7,9337999.3,32,1000
512,88363199,440073.95,940592.65,9336576.35,32,1000
1024,170732593.1,885768.8,1955720.65,9333439.85,32,1000
128,53235991.9,213862.95,472882.45,18662751.9,32,2000
256,94413163.4,438220.05,942137.85,18663917.85,32,2000
512,176716249.8,889216.5,1916193.3,18660645.1,32,2000
1024,341399174.1,1777413.95,3930217.95,18662169.15,32,2000
128,133257319.1,549012.15,1226786.85,46648695.9,32,5000
256,236236216.6,1117400.05,2392537.8,46673571.75,32,5000
512,442394344.3,2231633.6,4995769.7,46706350.75,32,5000
1024,854306218.2,4477431.9,9972029.35,46712703.3,32,5000
128,266673568.2,1114240.1,2447239.65,93328880.8,32,10000
256,472358365.7,2232447.15,4831983.05,93266617.25,32,10000
512,884042418,4491837.7,9611594.3,93278175.4,32,10000
1024,1706316124,8946308.3,19749663.9,93270724.55,32,10000
128,532163466.9,2237265.05,4953777.1,186611339.6,32,20000
256,944616353.3,4495507.5,9746340,186744754.1,32,20000
512,1768266562,8948618.1,19782498.3,186592120.4,32,20000
1024,3536847842,17896622.92,39562608.02,186592120.4,32,20000
128,738180.9,756,17539.75,230483.3,8,100
256,1238276.4,1593.8,33366.3,230207.1,8,100
512,2234616.7,3336.15,65043.95,230739.15,8,100
1024,4240125.4,10400.7,129023.25,231118.05,8,100
128,1470457.2,840.65,34911.85,460751.2,8,200
256,2479342.1,3142.6,66655.6,460486.8,8,200
512,4483959.3,10824.1,130930.65,461099.6,8,200
1024,8503078.4,32768.35,258930.25,461532.4,8,200
128,3686668.2,4552.4,88324,1150744.2,8,500
256,6190628.9,17319.25,166477.1,1150933,8,500
512,11228485.1,44183.25,327817.8,1154144.2,8,500
1024,21338757.4,97843.2,650591.55,1155390.15,8,500
128,7368158.6,17723.25,176419.25,2300184.65,8,1000
256,12396714.8,43162.8,334975.85,2301568.65,8,1000
512,22535388.9,98053.05,657107.35,2304097.25,8,1000
1024,42750874.9,211085.75,1314478.1,2309287.15,8,1000
128,14751583.4,43441.1,352272.8,4602215.45,8,2000
256,24869784,98027.6,674444.5,4603884.75,8,2000
512,45205133.9,213151,1315042.9,4609366.65,8,2000
1024,85537130.4,428944.05,2660974.9,4609815.25,8,2000
128,36993822.4,126560.2,880294.9,11516041.3,8,5000
256,62519782.3,265057.2,1686123.65,11537587.25,8,5000
512,113283731.4,542315,3358914.65,11520569.9,8,5000
1024,214829420.2,1087751.15,6631941.7,11511444,8,5000
128,74258386.7,265087.7,1761781,23013423.4,8,10000
256,125115273.8,540901.05,3393602.55,23017654.9,8,10000
512,226752455.2,1092653.05,6597296.8,23039885.05,8,10000
1024,429799246.2,2182742,13379688,23019304.85,8,10000
128,1367093.2,2475.1,16232.6,462076.1,16,100
256,2367167.8,4933,32119.8,462974.9,16,100
512,4384557.4,13658.3,64289.9,462994.8,16,100
1024,8421895.4,38529.4,128232.1,462512.3,16,100
128,2722886,2609.7,32409.5,925313.5,16,200
256,4734379.2,13602.3,64673.3,924041.6,16,200
512,8783922.4,38436,128909.8,926703.1,16,200
1024,16885336.4,85866.1,258559.4,927176.8,16,200
128,6828039.2,20721.9,80865,2311578.4,16,500
256,11893528.4,50011.5,161517.6,2313178.2,16,500
512,22009951.8,107938.3,324211.5,2314735.4,16,500
1024,42355541,234018.2,663078.3,2318114.9,16,500
128,13697122.6,50190,161826.9,4623211.4,16,1000
256,23858745.8,110056.4,327761.4,4626879.7,16,1000
512,44134872.6,232577.9,653870.1,4630417.8,16,1000
1024,84777364,477038,1361706.8,4632185.6,16,1000
128,27457598.8,110692.2,326562.5,9249989.2,16,2000
256,47768364.2,235994.1,654543.2,9253712.9,16,2000
512,88484387.2,483641.7,1313237.4,9258386.4,16,2000
1024,169675927.8,969858.8,2709641.7,9258224.6,16,2000
128,68777726.4,294293.8,819512,23134819.8,16,5000
256,119557290.8,596519.7,1655752.2,23132823.4,16,5000
512,221163879,1204461.7,3419464,23131101.8,16,5000
1024,423841892.6,2430862.5,6927181.6,23151421.4,16,5000
128,137576586.4,603042.3,1657770.4,46298768,16,10000
256,239266402,1217211.3,3282157.7,46324974.4,16,10000
512,442559113,2446404.8,6574284.2,46353852.3,16,10000
1024,848201081.4,4882081.8,13753104.8,46320122,16,10000
128,5489734.4,15414.7,17512,2380260.5,64,100
256,9885270.4,41381.1,48085.9,2383118.5,64,100
512,17761713.2,83914.2,108122.3,2379900.3,64,100
1024,34203883,183551.6,232517.2,2389231,64,100
128,10910064.8,37362.1,44562.9,4761871.5,64,200
256,19139900.8,81637.6,104984.3,4757392.3,64,200
512,35563623.4,180983.7,229674.9,4766906.3,64,200
1024,68512116.8,384491.4,536839.9,4772320,64,200
128,27437482.2,110904.5,136237.5,11899045.9,64,500
256,47992320,232580.9,291423.4,11910119,64,500
512,89149262.8,482263.6,673255.8,11920708.5,64,500
1024,171442841.6,975669.8,1448646.4,11918739.6,64,500
128,55008906,237602.3,294753.9,23803682.9,64,1000
256,96085446.4,483701.4,659836.6,23809489.5,64,1000
512,178447886,983597.2,1428506.5,23808285.5,64,1000
1024,343331626.6,1961924.1,3013797.6,23809311.8,64,1000
128,110182998.6,485423.9,660485,47604816.8,64,2000
256,192557191,982417.4,1442813.3,47587270.9,64,2000
512,357693983,1985906.8,3011931.5,47607660.4,64,2000
1024,686391096,3933846.8,6099478.9,47602675.8,64,2000
128,470221039.8,1222856.3,1893663.2,119240727.8,64,5000
256,926051701.6,2427819.7,3751094.9,119152337.8,64,5000
512,1775865225,4852690,7558547.9,119129264.1,64,5000
1024,1692491705,9704184.3,15193277.8,119149274.3,64,5000
128,547053036,2448057.6,3714396.4,238280271,64,10000
256,954514488.2,4908475.5,7470089.5,238265615,64,10000
512,1770753960,9741903.9,15223064.8,238447838.6,64,10000
1024,3392680955,19480098.2,30937188.2,238312382.2,64,10000
